epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.6023908257484436	0.596639096736908	0.07374727725982666	0.6655750870704651	0.001	0.6192610859870911	0.6364864706993103	0.14129775762557983	0.6561509966850281
1	0.636792778968811	0.6613160371780396	0.1857888102531433	0.6326683163642883	0.001	0.6329801678657532	0.6562139987945557	0.15642774105072021	0.6395239233970642
2	0.6800244450569153	0.7287569046020508	0.3010895252227783	0.589219331741333	0.001	0.6176310777664185	0.6338861584663391	0.16651546955108643	0.653630793094635
3	0.7264823913574219	0.7944353222846985	0.41215425729751587	0.5294432640075684	0.001	0.6219777464866638	0.6418538689613342	0.18073582649230957	0.6925320029258728
4	0.78000408411026	0.8611469268798828	0.5323832035064697	0.4494367837905884	0.001	0.6332518458366394	0.646737277507782	0.2096763253211975	0.7379096150398254
5	0.8265299201011658	0.9083311557769775	0.633944034576416	0.37125974893569946	0.001	0.6166802644729614	0.6342754364013672	0.19949209690093994	0.836942195892334
6	0.863173246383667	0.9401422142982483	0.7128127813339233	0.30623653531074524	0.001	0.6246943473815918	0.6316529512405396	0.1920972466468811	0.9292861819267273
7	0.9120763540267944	0.9731855988502502	0.8161700367927551	0.21513251960277557	0.00020000001	0.6223852038383484	0.6384066939353943	0.20448100566864014	1.0346529483795166
8	0.9210419058799744	0.9784586429595947	0.8350903987884521	0.1919148564338684	0.00020000001	0.6241510510444641	0.6418647766113281	0.2113608717918396	1.1054160594940186
9	0.9280377626419067	0.9819937348365784	0.8498774766921997	0.17573638260364532	0.00020000001	0.627954363822937	0.6423038244247437	0.21444594860076904	1.1501809358596802
10	0.9358826279640198	0.9846022725105286	0.8663464188575745	0.16314172744750977	0.00020000001	0.6260526776313782	0.6430116891860962	0.21552258729934692	1.1910159587860107
11	0.9411464929580688	0.9874552488327026	0.8773073554039001	0.14884889125823975	0.00020000001	0.624966025352478	0.6434764266014099	0.21615606546401978	1.2410317659378052
