epoch	accuracy	auc	kappa	loss	lr	val_accuracy	val_auc	val_kappa	val_loss
0	0.5253684520721436	0.5338770747184753	0.05439704656600952	1.1225745677947998	0.001	0.5571855306625366	0.5344870090484619	0.04639977216720581	3.458313226699829
1	0.5589553713798523	0.5818521976470947	0.12164252996444702	0.8022403120994568	0.001	0.4618310332298279	0.6344165802001953	0.0647808313369751	0.7730170488357544
2	0.5822522640228271	0.6151450872421265	0.16648155450820923	0.7166014313697815	0.001	0.5828579068183899	0.5929587483406067	0.129569411277771	0.8825508952140808
3	0.6082320213317871	0.650284469127655	0.2098010778427124	0.6697953939437866	0.001	0.6293126940727234	0.6510554552078247	0.2301870584487915	0.6693177819252014
4	0.6313251256942749	0.6800659894943237	0.24867773056030273	0.6410530805587769	0.001	0.6253735423088074	0.6775718331336975	0.24658596515655518	0.6380892395973206
5	0.6471506953239441	0.699815571308136	0.27876412868499756	0.6265326142311096	0.001	0.6544417142868042	0.7006364464759827	0.2766987085342407	0.6252641677856445
6	0.6646743416786194	0.7193843126296997	0.31026512384414673	0.6122292280197144	0.001	0.6665308475494385	0.7149510383605957	0.3026493191719055	0.6134205460548401
7	0.6826733946800232	0.7429874539375305	0.34606051445007324	0.5934747457504272	0.001	0.7091822624206543	0.7521271705627441	0.3748818635940552	0.5677321553230286
8	0.6984649896621704	0.7621719837188721	0.37897878885269165	0.5771080255508423	0.001	0.6805216073989868	0.7597938179969788	0.3577638268470764	0.5825767517089844
9	0.7116076946258545	0.7798767685890198	0.4055599570274353	0.55887371301651	0.001	0.6468350887298584	0.7393012642860413	0.30610740184783936	0.6227220892906189
10	0.725089967250824	0.7949848175048828	0.43312913179397583	0.5442615151405334	0.001	0.7071447968482971	0.7624087333679199	0.3816862106323242	0.5686889886856079
11	0.736976146697998	0.8100650310516357	0.4575658440589905	0.5269525647163391	0.001	0.5474056005477905	0.7140940427780151	0.18278253078460693	0.8159046173095703
12	0.7508320212364197	0.8246850371360779	0.485919713973999	0.5105199217796326	0.001	0.6252377033233643	0.7415048480033875	0.2837282419204712	0.6488553285598755
13	0.7920600175857544	0.8708131909370422	0.5705536603927612	0.4491526782512665	0.00020000001	0.7326813340187073	0.7972226142883301	0.44070905447006226	0.5357840657234192
14	0.8071045279502869	0.8879661560058594	0.6020364761352539	0.4224697947502136	0.00020000001	0.742325484752655	0.8073039054870605	0.46302330493927	0.5288915634155273
15	0.8142362236976624	0.8949555158615112	0.6168529391288757	0.40944457054138184	0.00020000001	0.7378429770469666	0.8050792217254639	0.4583577513694763	0.5390741229057312
16	0.822964072227478	0.9046297669410706	0.6347318291664124	0.39243343472480774	0.00020000001	0.6757674813270569	0.7918641567230225	0.36577755212783813	0.6345327496528625
17	0.8329824209213257	0.9133797287940979	0.6554067134857178	0.37604624032974243	0.00020000001	0.7355338335037231	0.8053052425384521	0.45125335454940796	0.5464572310447693
18	0.8406574726104736	0.9194368124008179	0.6715423464775085	0.3636314272880554	0.00020000001	0.7420538067817688	0.8044720888137817	0.4589913487434387	0.5400086641311646
19	0.8485023379325867	0.9258508086204529	0.6874150633811951	0.3502993583679199	0.00020000001	0.7355338335037231	0.8055562376976013	0.44809097051620483	0.5559260249137878
20	0.8664334416389465	0.9419060945510864	0.7244197726249695	0.31612786650657654	4.0000003e-05	0.7478945851325989	0.8116622567176819	0.4740865230560303	0.5505111217498779
21	0.8714935779571533	0.9443140029907227	0.7349633574485779	0.30918002128601074	4.0000003e-05	0.7375712990760803	0.8112381100654602	0.4598316550254822	0.566234827041626
22	0.8742443919181824	0.9467838406562805	0.7403051257133484	0.30243778228759766	4.0000003e-05	0.7464004158973694	0.810373067855835	0.4676423668861389	0.5577943921089172
23	0.8747877478599548	0.9464859962463379	0.7416219115257263	0.30325987935066223	4.0000003e-05	0.7472154498100281	0.8122426867485046	0.4703381657600403	0.5569106936454773
24	0.8760102987289429	0.9489175081253052	0.7442272901535034	0.29637932777404785	4.0000003e-05	0.745042085647583	0.8120449781417847	0.4675862789154053	0.562880277633667
